paragrafnummer,token,msd,lemma,lex,sense,complemgram,compwf,sentimentclass,ref,dephead,deprel,sentimentval,category
1,Vårens,NN.UTR.SIN.DEF.GEN,|vår|,|vår..nn.1|,|vår..1:-1.000|,|,|,0.0,1,3,DT,1,egna meningar
1,första,RO.NOM,|,|,|,|,|,,2,3,DT,1,egna meningar
1,blommor,NN.UTR.PLU.IND.NOM,|blomma|,|blomma..nn.1|,|blomma..1:-1.000|,|blom..nn.1+mor..nn.1:1.816e-11|blomma..nn.1+mor..nn.2:1.816e-11|blomma..nn.1+mor..nn.1:1.816e-11|blom..nn.1+mor..nn.2:1.816e-11|blomma..vb.1+mor..nn.1:4.277e-20|blomma..vb.1+mor..nn.2:4.277e-20|,|blom+mor|,0.0,3,4,SS,1,egna meningar
1,har,VB.PRS.AKT,|ha|,|ha..vb.1|,|ha..3:0.504|ha..1:0.496|,|,|,0.0,4,0,ROOT,1,egna meningar
1,börjat,VB.SUP.AKT,|börja|,|börja..vb.1|börja..vb.2|,|börja..2:0.515|börja..1:0.485|,|,|,0.0,5,4,VG,1,egna meningar
1,blomma,VB.INF.AKT,|blomma|,|blomma..vb.1|,|blomma..2:-1.000|,|,|,0.0,6,5,VG,1,egna meningar
1,i,PP,|i|,|i..pp.1|,|i..2:-1.000|,|,|,,7,6,RA,1,egna meningar
1,trädgården,NN.UTR.SIN.DEF.NOM,|trädgård|,|trädgård..nn.1|,|trädgård..1:-1.000|,|träd..nn.1+gård..nn.2:8.230e-11|träda..nn.1+gård..nn.2:8.230e-11|träda..nn.1+gård..nn.1:8.230e-11|träd..nn.1+gård..nn.1:8.230e-11|träda..vb.1+gård..nn.1:1.676e-20|trä..vb.1+gård..nn.1:1.676e-20|trä..vb.1+gård..nn.2:1.676e-20|träda..vb.1+gård..nn.2:1.676e-20|träda..vb.2+gård..nn.2:1.676e-20|träda..vb.2+gård..nn.1:1.676e-20|,|träd+gården|,0.0,8,7,PA,1,egna meningar
1,.,MAD,|,|,|,|,|,,9,4,IP,1,egna meningar
2,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,1,2,SS,1,egna meningar
2,blev,VB.PRT.AKT,|bli|,|bli..vb.1|,|bli..1:0.820|bli..2:0.180|,|,|,0.0,2,0,ROOT,1,egna meningar
2,upplyft,PC.PRF.UTR.SIN.IND.NOM,|upplyft|,|upplyft..av.1|,|upplyft..1:-1.000|,|upp..ab.1+lyfta..vb.1:6.154e-10|,|upp+lyft|,,3,2,SP,1,egna meningar
2,av,PP,|av|,|av..pp.1|,|av..1:-1.000|,|,|,,4,2,AG,1,egna meningar
2,det,DT.NEU.SIN.DEF,|en|den|,|en..al.1|den..pn.1|,|den..1:-1.000|en..2:-1.000|den..2:-1.000|,|,|,,5,6,DT,1,egna meningar
2,stöd,NN.NEU.SIN.IND.NOM,|stöd|,|stöd..nn.1|,|stöd..1:0.855|stöd..2:0.145|,|,|,1.0,6,4,PA,1,egna meningar
2,jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,7,8,SS,1,egna meningar
2,fick,VB.PRT.AKT,|få|,|få..vb.1|,|få..1:0.938|få..3:0.062|,|,|,1.0,8,6,ET,1,egna meningar
2,från,PP,|från|,|från..pp.1|,|från..1:-1.000|,|,|,,9,8,RA,1,egna meningar
2,mina,PS.UTR+NEU.PLU.DEF,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,10,11,DT,1,egna meningar
2,kollegor,NN.UTR.PLU.IND.NOM,|kollega|,|kollega..nn.1|,|kollega..1:-1.000|,|koll..nn.1+lega..nn.1:3.860e-13|koll..nn.2+lega..nn.1:3.860e-13|kol..nn.1+lega..nn.1:2.602e-14|kola_2..vb.1+lega..nn.1:1.206e-23|kola..vb.1+lega..nn.1:1.206e-23|,|koll+legor|kol+legor|,0.0,11,9,PA,1,egna meningar
2,.,MAD,|,|,|,|,|,,12,2,IP,1,egna meningar
3,Den,DT.UTR.SIN.DEF,|en|den|,|en..al.1|den..pn.1|,|den..1:-1.000|en..2:-1.000|den..2:-1.000|,|,|,,1,3,DT,1,egna meningar
3,nya,JJ.POS.UTR+NEU.SIN.DEF.NOM,|ny|,|ny..av.1|,|ny..1:-1.000|,|,|,0.0,2,3,AT,1,egna meningar
3,kaffebaren,NN.UTR.SIN.DEF.NOM,|kaffebar|,|kaffebar..nn.1|,|kaffebar..1:-1.000|,|kaffe..nn.1+bar..nn.2:1.186e-10|kaffe..nn.1+bar..nn.1:1.186e-10|,|kaffe+baren|,,3,6,SS,1,egna meningar
3,i,PP,|i|,|i..pp.1|,|i..2:-1.000|,|,|,,4,3,ET,1,egna meningar
3,grannskapet,NN.NEU.SIN.DEF.NOM,|grannskap|,|grannskap..nn.1|,|grannskap..1:-1.000|,|grann..nn.1+skap..nn.1:1.311e-12|granne..nn.1+skap..nn.1:1.311e-12|grann..av.1+skap..nn.1:4.873e-15|,|grann+skapet|grann+ska+pet|,,5,4,HD,1,egna meningar
3,serverar,VB.PRS.AKT,|servera|,|servera..vb.1|,|servera..1:-1.000|,|,|,0.0,6,0,ROOT,1,egna meningar
3,utsökt,PC.PRF.UTR.SIN.IND.NOM,|utsöka|utsökt|,|utsöka..vb.1|utsökt..av.1|,|utsöka..1:0.586|utsökt..1:0.414|,|ut..ab.1+söka..vb.1:3.012e-09|ut..ab.1+sökt..av.1:2.023e-11|,|ut+sökt|,-1.0,7,8,AT,1,egna meningar
3,espresso,NN.UTR.SIN.IND.NOM,|espresso|,|espresso..nn.1|,|espresso..1:-1.000|,|,|,,8,6,OO,1,egna meningar
3,.,MAD,|,|,|,|,|,,9,6,IP,1,egna meningar
