"corpus","match_position","left context","match","right_context","text_tags","text_swefn","text_blingbring","text_lix","text_url","text_author","text_title","text_nk","text_date","text_ovix"
"8 Sidor","1299","Polisen undersöker","hur","de kunde få tag på vapen när de var inne på fängelset .","|Sverige|","|Escaping:530.708|Prison:442.365|Containing:163.632|","|fånge:1076.804|bestraffningsmedel:164.172|fängelse:122.284|","25.67","http://8sidor.se/sverige/2004/08/sakerheten-ska-bli-battre-pa-fangelser/","","Säkerheten ska bli bättre på fängelser","0.83","2004-08-03 10:17:00","48.58"
"8 Sidor","3109","Exakt","hur","reglerna ska se ut är inte klart än .","|Sverige|","|Wealthiness:105.379|Alliance:68.842|Work:43.958|","|ordvarietet:39.767|domstol:31.889|fåordighet:31.324|","35.67","http://8sidor.se/sverige/2004/02/sverige-vill-ha-sarskilda-regler-for-folk-fran-nya-eu-lander/","","Sverige vill ha särskilda regler för folk från nya EU-länder","0.84","2004-02-04 10:15:00","51.31"
"8 Sidor","3591","Experterna tror att det beror på att många inte förstår","hur","Europeiska Unionen fungerar .","|Sverige|","|Change_of_leadership:210.175|Alliance:168.663|Emotions_success_or_failure:125.834|","|utmaning:50.048|mästare:39.758|oviktighet:36.428|","36.99","http://8sidor.se/sverige/2004/06/manga-struntade-i-att-rosta-i-valet/","","Många struntade i att rösta i valet","0.91","2004-06-14 10:28:00","53.31"
"8 Sidor","6170","Men de är inte överens om","hur","mycket skatten ska sänkas .","|Sverige|","|People_along_political_spectrum:136.265|Cause_change_of_position_on_a_scale_decrease:112.563|Arranging:69.256|","|rabatt:57.467|djup:48.184|rikedom:40.673|","37.92","http://8sidor.se/sverige/2005/05/borgerliga-partier-vill-sanka-skatten/","","Borgerliga partier vill sänka skatten","0.86","2005-05-03 10:18:48","50.06"
"8 Sidor","8694","TV-bilderna visar","hur","bomberna slår ner och exploderar i enorma eldsken .","|Världen|USA|","|Detonate_explosive:401.373|Breaking_apart:126.955|Breaking_out_captive:124.5|","|minnestecknare:76.677|himmel:36.24|vapen:31.563|","29.76","http://8sidor.se/varlden/2003/03/usa-anfoll-irak-kriget-har-borjat/","","USA anföll Irak – kriget har börjat","1.41","2003-03-20 09:52:00","76.93"
"8 Sidor","9200","I år handlar budgeten mest om","hur","fler i Sverige ska få jobb .","|Sverige|","|Unemployment_rate:273.481|Defending:59.837|Arranging:48.64|","|skattmästare:51.251|räkenskap:46.16|överordnad:22.066|","42.46","http://8sidor.se/sverige/2004/04/mer-pengar-till-jobb-i-regeringens-plan/","","Mer pengar till jobb i regeringens plan","1.21","2004-04-15 10:00:00","49.34"
"8 Sidor","9640","Men ingen vet ännu exakt","hur","mannen dog .","|Sverige|","|Detonate_explosive:363.745|Theft:153.315|Law_enforcement_agency:69.968|","|fåordighet:59.956|vaktare:47.637|tjuvnad:47.032|","37.01","http://8sidor.se/sverige/2004/12/gaslacka-gjorde-att-lagenhet-sprangdes/","","Gasläcka gjorde att lägenhet sprängdes","1.00","2004-12-16 10:10:04","50.42"
"8 Sidor","9712","På filmen ser man","hur","den amerikanske soldaten tar sitt vapen och skjuter irakiern i huvudet .","|Världen|","|Member_of_military:195.152|Create_representation:137.081|Hit_target:119.224|","|ovän:75.129|motståndare:42.58|stridsman:33.024|","37.52","http://8sidor.se/varlden/2004/11/amerikansk-soldat-skot-ihjal-forsvarslos-irakier/","","Amerikansk soldat sköt ihjäl försvarslös irakier","1.57","2004-11-17 10:38:48","74.74"
"8 Sidor","9738","Ännu vet ingen exakt","hur","många människor som dog i jordbävningen .","|Världen|","|Moving_in_place:225.202|Body_movement:62.115|Accuracy:57.776|","|ö:83.628|fåordighet:54.817|omstörtning:41.375|","30.96","http://8sidor.se/varlden/2005/03/tva-svenskar-saknas-efter-jordbavningen-i-asien/","","Två svenskar saknas efter jordbävningen i Asien","1.00","2005-03-30 10:14:21","63.10"
"8 Sidor","14092","Folket valde de politiker som ska bestämma","hur","Nordirland ska styras i framtiden .","|Världen|","|Intentionally_affect:137.628|Trust:96.42|Change_of_leadership:88.682|","|måttlighet:27.946|sammandrag:24.631|gudom:22.199|","33.43","http://8sidor.se/varlden/2003/11/det-har-varit-val-i-nordirland/","","Det har varit val i Nordirland","0.82","2003-11-27 10:00:00","53.96"
"8 Sidor","15794","De misstänks också för att ha försökt dölja för Skandia Livs ägare","hur","de skött företagets pengar .","|Sverige|","|Detaining:271.34|Suspicion:126.596|Eventive_cognizer_affecting:98.892|","|svartsjuka:117.286|klentrogenhet:49.215|anklagelse:45.193|","36.67","http://8sidor.se/sverige/2004/02/fore-detta-skandia-chefer-togs-av-polisen/","","Före detta Skandia-chefer togs av polisen","1.09","2004-02-06 09:51:00","52.52"
"8 Sidor","16123","På ägg-kartongerna kan man för det mesta läsa","hur","hönsen har bott .","|Sverige|","|Agree_or_refuse_to_act:114.925|Compliance:92.332|Evading:87.652|","|fängelse:103.095|religionsurkund:47.574|hämnd:42.734|","25.09","http://8sidor.se/sverige/2004/01/en-miljon-hons-lever-for-trangt/","","En miljon höns lever för trångt","0.89","2004-01-05 10:26:00","47.15"
"8 Sidor","16906","I Stockholm får dubbelt så många barn den sjukdomen jämfört med","hur","det var för sju år sedan .","|Sverige|","|Falling_ill:999.873|Cure_mod:814.621|Medical_disorders:135.637|","|oegentlighet:52.822|ohälsa:26.939|efterkommande:21.259|","33.75","http://8sidor.se/sverige/2005/05/fler-och-fler-barn-far-diabetes/","","Fler och fler barn får diabetes","0.81","2005-05-10 10:02:47","61.76"
"8 Sidor","16960","President Talabani har inte lyckats få de olika partierna att enas om","hur","en ny regering ska se ut .","|Världen|","|Violence:239.25|Be_in_agreement_on_assessment:165.281|Taking_sides:150.407|","|ovän:255.438|motståndare:144.771|olaglighet:55.743|","36.48","http://8sidor.se/varlden/2005/04/elva-personer-dodades-i-irak/","","Elva personer dödades i Irak","1.07","2005-04-22 09:31:08","68.69"
"8 Sidor","17574","Domstolen i Haag förstår inte","hur","det är att leva med ständig terror , sade en man från Israels utrikes-departement .","|Världen|","|Terrorism:269.94|Growing_food:207.283|Trial:189.168|","|välgörare:612.948|försvar:64.292|infattning:52.884|","41.47","http://8sidor.se/varlden/2004/02/det-blir-rattegang-om-muren-i-israel/","","Det blir rättegång om muren i Israel","1.26","2004-02-23 10:40:00","66.03"
"8 Sidor","19068","De tycker att USA bryter mot reglerna om","hur","fångar ska behandlas .","|Världen|","|Terrorism:819.925|Releasing:484.194|Breaking_out_captive:154.46|","|fånge:1893.332|gåpåare:536.39|ogärningsman:120.346|","32.32","http://8sidor.se/varlden/2003/05/usa-slapper-afghanska-fangar/","","USA släpper afghanska fångar","0.90","2003-05-09 10:03:00","46.70"
"8 Sidor","19123","En gammal lag har sagt att föräldrar och lärare själva får välja","hur","barnen ska straffas .","|Världen|","|Corporal_punishment:1890.069|Rewards_and_punishments:127.66|Cause_harm:73.179|","|hämnd:94.964|uttolkare:62.76|mästare:50.972|","29.39","http://8sidor.se/varlden/2004/11/engelsmannen-far-smiska-sina-barn/","","Engelsmännen får smiska sina barn","0.90","2004-11-03 09:49:08","53.76"
"8 Sidor","19251","Ingen vet ännu","hur","många som har dött .","|Världen|","|Death:54.243|Catastrophe:33.12|Moving_in_place:29.73|","|välgörare:287.256|hav:56.603|ö:38.64|","24.61","http://8sidor.se/varlden/2004/12/fler-an-hundra-tusen-kan-ha-dott/","","Fler än hundra tusen kan ha dött","0.59","2004-12-30 10:38:33","47.78"
"8 Sidor","20870","Shiamuslimerna och sunnimuslimerna har olika åsikter om","hur","man ska tro på religionen islam och hur man ska leva som muslim .","|Världen|","|Religious_belief_systems:582.992|Breaking_apart:323.664|People_by_religion:201.268|","|bekännelse:121.575|kyrkbyggnad:50.186|överraskning:32.123|","44.69","http://8sidor.se/varlden/2004/06/bomb-i-pakistan-dodade-16-manniskor/","","Bomb i Pakistan dödade 16 människor","1.38","2004-06-01 09:54:00","63.11"
"8 Sidor","20878","Shiamuslimerna och sunnimuslimerna har olika åsikter om hur man ska tro på religionen islam och","hur","man ska leva som muslim .","|Världen|","|Religious_belief_systems:582.992|Breaking_apart:323.664|People_by_religion:201.268|","|bekännelse:121.575|kyrkbyggnad:50.186|överraskning:32.123|","44.69","http://8sidor.se/varlden/2004/06/bomb-i-pakistan-dodade-16-manniskor/","","Bomb i Pakistan dödade 16 människor","1.38","2004-06-01 09:54:00","63.11"
"8 Sidor","21474","Ingen vet","hur","det ska sluta .","|Världen|","|Member_of_military:209.974|Agree_or_refuse_to_act:94.559|Hiding_objects:88.166|","|yttre väsen:41.444|föregångare:38.522|stridsman:30.456|","36.75","http://8sidor.se/varlden/2004/04/shia-ledaren-jagas-av-usas-soldater/","","Shia-ledaren jagas av USAs soldater","0.93","2004-04-06 09:44:00","70.12"
"8 Sidor","22552","De skulle tala om","hur","det ska bli fred mellan israelerna och palestinierna .","|Världen|","|Detonate_explosive:1142.56|Terrorism:470.325|Intentionally_affect:200.11|","|gåpåare:307.684|ogärningsman:69.033|oförskämdhet:36.405|","41.24","http://8sidor.se/varlden/2003/05/terrorister-dodade-fler-an-sjuttio-manniskor/","","Terrorister dödade fler än sjuttio människor","1.45","2003-05-19 10:23:00","69.86"
"8 Sidor","23289","Från helikoptern kunde han se","hur","stora skadorna är efter stormen .","|Sverige|","|Electricity:287.573|Intentionally_affect:244.329|Breathing:134.101|","|luftström:78.596|strömning:75.932|luft:29.323|","37.30","http://8sidor.se/sverige/2005/01/fler-manniskor-utan-strom-efter-ny-storm/","","Fler människor utan ström efter ny storm","1.19","2005-01-13 10:28:04","67.12"
"8 Sidor","23314","Problemlösning ,","hur","eleverna löser problem och läsförståelse , hur bra de förstår texter de läser .","|Sverige|","|Education_teaching:38.588|Eventive_cognizer_affecting:37.392|Scrutiny:34.737|","|otid:133.706|uttolkare:54.798|lärjunge:51.495|","37.72","http://8sidor.se/sverige/2004/12/skolministern-vill-stoppa-mobiltelefoner-i-skolan/","","Skolministern vill stoppa mobiltelefoner i skolan","1.08","2004-12-07 10:21:21","49.67"
"8 Sidor","23321","Problemlösning , hur eleverna löser problem och läsförståelse ,","hur","bra de förstår texter de läser .","|Sverige|","|Education_teaching:38.588|Eventive_cognizer_affecting:37.392|Scrutiny:34.737|","|otid:133.706|uttolkare:54.798|lärjunge:51.495|","37.72","http://8sidor.se/sverige/2004/12/skolministern-vill-stoppa-mobiltelefoner-i-skolan/","","Skolministern vill stoppa mobiltelefoner i skolan","1.08","2004-12-07 10:21:21","49.67"
"","","","","","","","","","","","","","",""
"## CQP query: [word = ""hur""]","","","","","","","","","","","","","",""
"## context: 1 sentence","","","","","","","","","","","","","",""
"## within: sentence","","","","","","","","","","","","","",""
"## sorting: none","","","","","","","","","","","","","",""
"## start: 0","","","","","","","","","","","","","",""
"## end: 24","","","","","","","","","","","","","",""
"## Total hits: 312<span rel=""localize[util_numbergroupseparator]"">&nbsp;</span>855","","","","","","","","","","","","","",""
