SALDO sense ID,polarity label
absolut..1,0
absolution..1,1
abstinens..1,-1
abstinensbesvär..1,-1
absurd..1,-1
absurditet..1,-1
acceptera..1,1
accepterande..1,1
ackuratess..1,1
adelsmärke..1,1
administration..1,0
administrativ..1,0
adress..1,0
advokat..1,0
advokat..2,0
advokatyr..1,-1
affischnamn..1,1
affär..1,0
affär..2,0
affär..3,-1
affär..4,-1
afrodisiakum..1,0
agera..1,0
agera..2,0
agerande..1,0
agerande..2,0
aggression..1,-1
aggressiv..1,-1
agitation..1,0
agitation..2,-1
aha-upplevelse..1,1
akademisk..1,0
akta..1,1
akta..2,1
aktande..1,1
aktande..2,1
aktie..1,0
aktiebolag..1,0
aktieägare..1,0
aktiv..1,0
aktiv..2,0
aktiva..1,0
aktivitet..1,0
aktivum..1,0
aktning..1,1
aktningsvärd..1,1
aktningsvärd..2,0
aktuell..1,0
aktör..1,0
aktör..2,0
akut..1,-1
akut..2,0
akuten..1,0
alarm..1,-1
alarm..2,0
alarm..3,-1
alarmera..1,-1
alarmera..2,-1
alarmerande..1,-1
alarmerande..2,-1
alarmerande..3,-1
alarmering..1,0
alarmering..2,-1
alarmism..1,-1
alarmist..1,-1
alarmistisk..1,-1
alert..1,1
alibi..1,0
alibi..2,-1
alienera..1,-1
alienerande..1,-1
alkohol..1,-1
alkoholism..1,-1
alkoholist..1,-1
allergisk..1,-1
allergisk..2,-1
allmän..1,0
allmän..2,0
allmän..3,0
allmän..4,0
allmän..5,0
allmänfarlig..1,-1
allmänhet..1,0
allvar..1,-1
allvarlig..1,-1
allvarlig..2,-1
alternativ..1,0
alternativ..2,0
amatöristisk..1,-1
amatöristisk..2,-1
amatörmässig..1,-1
amatörmässighet..1,-1
ambition..1,0
amerikan..1,0
amerikan..2,0
amerikanare..1,0
amerikanisera..1,0
amerikaniserande..1,0
amerikansk..1,0
amerikansk..2,0
amerikanska..1,0
amerikanska..2,0
amerikanska..3,0
amsaga..1,-1
ana..1,0
analys..1,0
analysera..1,0
analyserande..1,0
anande..1,0
anarki..1,-1
andefattig..1,-1
andel..1,0
andel..2,0
andningssvårighet..1,-1
andnöd..1,-1
andraplats..1,0
andrum..1,1
anemisk..1,-1
anfall..1,-1
anfall..2,-1
anfalla..1,-1
anfallande..1,-1
anfäkta..1,-1
anfäkta..2,-1
anfäktad..1,-1
anfäktande..1,-1
anföra..1,0
anföra..2,0
anförande..1,0
anförande..2,0
ange..1,0
ange..2,-1
ange..3,0
angelägen..1,0
angelägen..2,1
angenäm..1,1
angivande..1,0
angivande..2,-1
angivelse..1,-1
angivelse..2,0
angiveri..1,-1
angrepp..1,-1
angripa..1,-1
angripa..2,-1
angripa..3,0
angripande..1,-1
angripande..2,-1
anhåll..1,0
anhålla..1,0
anhålla..2,0
anhållan..1,0
anhållande..1,0
anhållande..2,0
anhängarskara..1,0
anhörig..1,0
aning..1,0
aningslöshet..1,-1
anka..1,0
anka..2,-1
anklaga..1,-1
anklagande..1,-1
anklagelse..1,-1
anledning..1,0
anlita..1,0
anlitande..1,0
anläggning..1,0
anläggning..2,0
anländ..1,0
anlända..1,0
anländande..1,0
anmäla..1,0
anmäla..2,0
anmälan..1,0
anmälan..2,0
anmälande..1,0
anmälande..2,0
anmälning..1,0
anmälningsplikt..1,0
anmärka..1,-1
anmärka..2,0
anmärkande..1,-1
anmärkande..2,0
annons..1,0
annonsbojkott..1,-1
annorlunda..1,0
anordna..1,0
anordnande..1,0
anpassa..1,0
anpassande..1,0
anse..1,0
ansedd..1,1
anseende..1,0
anseende..2,0
ansenlig..1,1
ansikte..1,0
anslag..1,0
anslag..2,0
anslag..3,0
ansluta..1,0
ansluta..2,0
anslutande..1,0
anslutande..2,0
anslutning..1,0
anslutning..2,0
anslå..1,1
anslå..2,0
anspråk..1,-1
