paragrafnummer,token,msd,lemma,lex,sense,complemgram,compwf,sentimentclass,deprel,sentimentval,category
1,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,SS,1,egna meningar
1,blev,VB.PRT.AKT,|bli|,|bli..vb.1|,|bli..1:0.866|bli..2:0.134|,|,|,neutral,ROOT,1,egna meningar
1,upplyft,PC.PRF.UTR.SIN.IND.NOM,|upplyft|,|upplyft..av.1|,|upplyft..1:-1.000|,|upp..ab.1+lyfta..vb.1:6.154e-10|,|upp+lyft|,,SP,1,egna meningar
1,av,PP,|av|,|av..pp.1|,|av..1:-1.000|,|,|,,AG,1,egna meningar
1,det,DT.NEU.SIN.DEF,|en|den|,|en..al.1|den..pn.1|,|den..1:-1.000|en..2:-1.000|den..2:-1.000|,|,|,,DT,1,egna meningar
1,stöd,NN.NEU.SIN.IND.NOM,|stöd|,|stöd..nn.1|,|stöd..1:0.821|stöd..2:0.179|,|,|,positive,PA,1,egna meningar
1,jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,SS,1,egna meningar
1,fick,VB.PRT.AKT,|få|,|få..vb.1|,|få..1:0.942|få..3:0.058|,|,|,positive,ET,1,egna meningar
1,från,PP,|från|,|från..pp.1|,|från..1:-1.000|,|,|,,RA,1,egna meningar
1,mina,PS.UTR+NEU.PLU.DEF,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,DT,1,egna meningar
1,kollegor,NN.UTR.PLU.IND.NOM,|kollega|,|kollega..nn.1|,|kollega..1:-1.000|,|koll..nn.1+lega..nn.1:3.860e-13|koll..nn.2+lega..nn.1:3.860e-13|kol..nn.1+lega..nn.1:2.602e-14|kola_2..vb.1+lega..nn.1:1.206e-23|kola..vb.1+lega..nn.1:1.206e-23|,|koll+legor|kol+legor|,neutral,PA,1,egna meningar
1,.,MAD,|,|,|,|,|,,IP,1,egna meningar
2,Den,DT.UTR.SIN.DEF,|en|den|,|en..al.1|den..pn.1|,|den..1:-1.000|en..2:-1.000|den..2:-1.000|,|,|,,DT,1,egna meningar
2,nya,JJ.POS.UTR+NEU.SIN.DEF.NOM,|ny|,|ny..av.1|,|ny..1:-1.000|,|,|,neutral,AT,1,egna meningar
2,kaffebaren,NN.UTR.SIN.DEF.NOM,|kaffebar|,|kaffebar..nn.1|,|kaffebar..1:-1.000|,|kaffe..nn.1+bar..nn.2:1.186e-10|kaffe..nn.1+bar..nn.1:1.186e-10|,|kaffe+baren|,,SS,1,egna meningar
2,i,PP,|i|,|i..pp.1|,|i..2:-1.000|,|,|,,ET,1,egna meningar
