paragrafnummer,token,msd,lemma,lex,sense,complemgram,compwf,sentimentclass,ref,dephead,deprel
1,Vårens,NN.UTR.SIN.DEF.GEN,|vår|,|vår..nn.1|,|vår..1:-1.000|,|,|,0,1,3,DT
1,första,RO.NOM,|,|,|,|,|,,2,3,DT
1,blommor,NN.UTR.PLU.IND.NOM,|blomma|,|blomma..nn.1|,|blomma..1:-1.000|,|blom..nn.1+mor..nn.1:1.816e-11|blomma..nn.1+mor..nn.2:1.816e-11|blomma..nn.1+mor..nn.1:1.816e-11|blom..nn.1+mor..nn.2:1.816e-11|blomma..vb.1+mor..nn.1:4.277e-20|blomma..vb.1+mor..nn.2:4.277e-20|,|blom+mor|,0,3,4,SS
1,har,VB.PRS.AKT,|ha|,|ha..vb.1|,|ha..3:0.504|ha..1:0.496|,|,|,0,4,0,ROOT
1,börjat,VB.SUP.AKT,|börja|,|börja..vb.1|börja..vb.2|,|börja..2:0.515|börja..1:0.485|,|,|,0,5,4,VG
1,blomma,VB.INF.AKT,|blomma|,|blomma..vb.1|,|blomma..2:-1.000|,|,|,0,6,5,VG
1,i,PP,|i|,|i..pp.1|,|i..2:-1.000|,|,|,,7,6,RA
1,trädgården,NN.UTR.SIN.DEF.NOM,|trädgård|,|trädgård..nn.1|,|trädgård..1:-1.000|,|träd..nn.1+gård..nn.2:8.230e-11|träda..nn.1+gård..nn.2:8.230e-11|träda..nn.1+gård..nn.1:8.230e-11|träd..nn.1+gård..nn.1:8.230e-11|träda..vb.1+gård..nn.1:1.676e-20|trä..vb.1+gård..nn.1:1.676e-20|trä..vb.1+gård..nn.2:1.676e-20|träda..vb.1+gård..nn.2:1.676e-20|träda..vb.2+gård..nn.2:1.676e-20|träda..vb.2+gård..nn.1:1.676e-20|,|träd+gården|,0,8,7,PA
1,.,MAD,|,|,|,|,|,,9,4,IP
2,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,01,02,SS
2,blev,VB.PRT.AKT,|bli|,|bli..vb.1|,|bli..1:0.820|bli..2:0.180|,|,|,0,02,0,ROOT
2,upplyft,PC.PRF.UTR.SIN.IND.NOM,|upplyft|,|upplyft..av.1|,|upplyft..1:-1.000|,|upp..ab.1+lyfta..vb.1:6.154e-10|,|upp+lyft|,,03,02,SP
2,av,PP,|av|,|av..pp.1|,|av..1:-1.000|,|,|,,04,02,AG
2,det,DT.NEU.SIN.DEF,|en|den|,|en..al.1|den..pn.1|,|den..1:-1.000|en..2:-1.000|den..2:-1.000|,|,|,,05,06,DT
2,stöd,NN.NEU.SIN.IND.NOM,|stöd|,|stöd..nn.1|,|stöd..1:0.855|stöd..2:0.145|,|,|,1,06,04,PA
